DÍA DE LA SEMANA,HORA DEL DÍA,CONSUMO (1 ALTO -1 BAJO),SALIDA DE LA RED
5.000000,9.000000,-1.000000,-0.954327
5.000000,10.000000,-1.000000,-0.958824
5.000000,11.000000,-1.000000,-0.962498
5.000000,12.000000,1.000000,0.970063
5.000000,13.000000,1.000000,0.971443
5.000000,14.000000,1.000000,0.972701
5.000000,15.000000,1.000000,0.973853
5.000000,16.000000,1.000000,0.974911
5.000000,17.000000,1.000000,0.975886
5.000000,18.000000,1.000000,0.976788
5.000000,19.000000,1.000000,0.977625
5.000000,20.000000,1.000000,0.978403
5.000000,21.000000,1.000000,0.979129
5.000000,22.000000,1.000000,0.979808
5.000000,23.000000,1.000000,0.980443
5.000000,24.000000,1.000000,0.981040
6.000000,1.000000,1.000000,-0.997363
6.000000,2.000000,-1.000000,-0.353635
6.000000,3.000000,-1.000000,-0.946972
6.000000,4.000000,-1.000000,-0.954723
6.000000,5.000000,-1.000000,-0.960428
6.000000,6.000000,-1.000000,-0.964816
6.000000,7.000000,-1.000000,-0.968303
6.000000,8.000000,-1.000000,-0.971146
6.000000,9.000000,-1.000000,-0.973510
6.000000,10.000000,1.000000,-0.975508
6.000000,11.000000,1.000000,0.903271
6.000000,12.000000,1.000000,0.922357
6.000000,13.000000,1.000000,0.934906
6.000000,14.000000,1.000000,0.943847
6.000000,15.000000,1.000000,0.999914
6.000000,16.000000,1.000000,0.999914
6.000000,17.000000,1.000000,0.999914
6.000000,18.000000,1.000000,0.999914
6.000000,19.000000,1.000000,0.999914
6.000000,20.000000,1.000000,0.999914
6.000000,21.000000,1.000000,0.999914
6.000000,22.000000,1.000000,0.999914
6.000000,23.000000,1.000000,0.999914
6.000000,24.000000,1.000000,0.999914
7.000000,1.000000,-1.000000,0.804576
7.000000,2.000000,-1.000000,-0.959262
7.000000,3.000000,-1.000000,-0.963906
7.000000,4.000000,-1.000000,-0.967572
7.000000,5.000000,-1.000000,-0.970544
7.000000,6.000000,-1.000000,-0.973006
7.000000,7.000000,-1.000000,-0.975080
7.000000,8.000000,-1.000000,-0.976851
7.000000,9.000000,-1.000000,-0.978384
7.000000,10.000000,-1.000000,-0.979722
7.000000,11.000000,-1.000000,-0.980902
7.000000,12.000000,-1.000000,-0.981950
7.000000,13.000000,-1.000000,-0.982888
7.000000,14.000000,-1.000000,-0.983731
7.000000,15.000000,-1.000000,-0.984495
7.000000,16.000000,-1.000000,-0.985189
7.000000,17.000000,-1.000000,-0.985823
7.000000,18.000000,-1.000000,-0.986404
7.000000,19.000000,-1.000000,0.923997
7.000000,20.000000,1.000000,0.940192
7.000000,21.000000,1.000000,0.945501
7.000000,22.000000,1.000000,0.949938
7.000000,23.000000,1.000000,0.953702
7.000000,24.000000,-1.000000,0.956937
